doi, journal, volume, issue, editor, submitted, revised, decision, accepted, online, finalversion, issueonline, issuedate, 
10.1111/j.1461-0248.2005.00765.x, Ecology Letters, 8, 7, Jonathan Chase, NA, NA, NA, NA, 2005-04-28, NA, 2005-04-28, 2005-07-01, 
10.1890/08-1446.1, Ecology, 91, 1, NA, 2008-08-02, 2009-03-24, NA, 2009-04-02, 2010-02-24, NA, NA, 2010-01-01, 
10.1890/es12-00408.1, Ecosphere, 4, 3, D. P. C. Peters.</p>  <a name="copyright"></a> <p class="first last"><b>Copyright:</b> © 2013 (Claisse et al.). This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits restricted use, distribution, and reproduction in any medium, provided the original author and sources are credited, NA, NA, NA, NA, 2013-03-18, NA, NA, 2013-03-01, 
10.1111/j.1461-0248.2009.01299.x, Ecology Letters, 12, 5, John Harte, NA, NA, NA, NA, 2009-03-10, NA, 2009-04-06, 2009-05-01, 
10.1890/11-1187.1, Ecology, 93, 3, W. E. Snyder, 2011-06-30, 2011-09-29, NA, 2011-10-25, 2012-04-17, NA, NA, 2012-03-01, 
10.1890/es12-00370.1, Ecosphere, 4, 3, D. P. C. Peters.</p>  <a name="copyright"></a> <p class="first last"><b>Copyright:</b> © 2013 (Johnston). This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits restricted use, distribution, and reproduction in any medium, provided the original author and sources are credited, NA, NA, NA, NA, 2013-03-18, NA, NA, 2013-03-01, 
10.1111/j.1461-0248.2009.01434.x, Ecology Letters, 13, 3, Marcel Holyoak, NA, NA, NA, NA, 2010-01-27, NA, 2010-02-19, 2010-03-01, 
10.1086/664828, The American Naturalist, 179, 4, NA, 2012-01-20, NA, NA, 2012-01-20, NA, NA, NA, 2012-03-21, 
10.1890/06-0943, Ecology, 88, 4, NA, 2006-06-05, 2006-09-14, NA, 2006-09-18, 2008-09-11, NA, NA, 2007-04-01, 
10.1890/es12-00139.1, Ecosphere, 3, 12, C. D'Avanzo.</p>  <a name="copyright"></a> <p class="first last"><b>Copyright:</b> © 2012 Strasser and Hampton. This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits restricted use, distribution, and reproduction in any medium, provided the original author and sources are credited, NA, NA, NA, NA, 2012-12-21, NA, NA, 2012-12-01, 
10.1111/j.1461-0248.2007.01109.x, Ecology Letters, 0, 1, Tim Coulson, NA, NA, NA, NA, 2007-09-26, NA, 2007-09-26, 2008-01-01, 
10.1086/671184, The American Naturalist, 182, 3, NA, 2012-10-30, NA, NA, 2013-04-16, 2013-07-24, NA, NA, 2013-08-09, 
10.1890/0012-9658(2008)89[2074:gncobs]2.0.co;2, Ecology, 89, 7, NA, NA, NA, NA, NA, 2008-09-02, NA, NA, 2008-07-01, 
10.1890/es13-00105.1, Ecosphere, 4, 8, NA, NA, NA, NA, NA, 2013-08-20, NA, NA, 2013-08-01, 
10.1111/j.1461-0248.2005.00767.x, Ecology Letters, 8, 7, George Hurtt, NA, NA, NA, NA, 2005-04-28, NA, 2005-04-28, 2005-07-01, 
10.1086/663198, The American Naturalist, 179, 1, NA, 2011-04-01, NA, NA, 2011-09-05, 2011-12-02, NA, NA, 2011-12-15, 
10.1890/13-0915.1, Ecology, 94, 10, A. T. Classen, 2013-05-15, 2013-07-01, NA, 2013-07-11, 2013-10-16, NA, NA, 2013-10-01, 
10.1890/es13-00004.1, Ecosphere, 4, 4, D. P. C. Peters, NA, NA, NA, NA, 2013-04-03, NA, NA, 2013-04-01, 
